new,host,ttl,a,cname,soa,status_code,has_internal_ips,internal_ips,aaaa,ns,txt,mx,cdn,cdn-name,caa
[x],0.jd.com,120.0,36.110.181.169,0.jd.com.gslb.qianxun.com,"{'name': 'gslb.qianxun.com', 'ns': 'ns1.jdcache.com', 'mailbox': 'apollo.jd.com', 'serial': 2015194850, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 38400}, {'name': 'gslb.qianxun.com', 'ns': 'ns1.jdcache.com', 'mailbox': 'apollo.jd.com', 'serial': 2015194850, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 38400}, {'name': 'gslb.qianxun.com', 'ns': 'ns1.jdcache.com', 'mailbox': 'apollo.jd.com', 'serial': 2015194850, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 38400}",NOERROR,,,,,,,,,
[x],000.jd.com,120.0,,000.jd.com.gslb.qianxun.com,"{'name': 'gslb.qianxun.com', 'ns': 'ns1.jdcache.com', 'mailbox': 'apollo.jd.com', 'serial': 2015194850, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 38400}, {'name': 'gslb.qianxun.com', 'ns': 'ns1.jdcache.com', 'mailbox': 'apollo.jd.com', 'serial': 2015194850, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 38400}, {'name': 'gslb.qianxun.com', 'ns': 'ns1.jdcache.com', 'mailbox': 'apollo.jd.com', 'serial': 2015179823, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 38400}, {'name': 'gslb.qianxun.com', 'ns': 'ns1.jdcache.com', 'mailbox': 'apollo.jd.com', 'serial': 2015194850, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 38400}",NOERROR,,,,,,,,,
[x],0011111111111111111queencitysecurity.jd.com,120.0,,ym.gslb.qianxun.com,"{'name': 'ym.gslb.qianxun.com', 'ns': 'ns1.jdcache.com', 'mailbox': 'apollo.jd.com', 'serial': 2015194850, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 38400}, {'name': 'gslb.qianxun.com', 'ns': 'ns1.jdcache.com', 'mailbox': 'apollo.jd.com', 'serial': 2015194850, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 38400}, {'name': 'jd.com', 'ns': 'ns1.jdcache.com', 'mailbox': 'apollo.jd.com', 'serial': 2015239559, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 38400}",NOERROR,,,,,,,,,
[x],002.jd.com,120.0,111.13.24.68,002.jd.com.gslb.qianxun.com,"{'name': 'gslb.qianxun.com', 'ns': 'ns1.jdcache.com', 'mailbox': 'apollo.jd.com', 'serial': 2015194850, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 38400}, {'name': 'gslb.qianxun.com', 'ns': 'ns1.jdcache.com', 'mailbox': 'apollo.jd.com', 'serial': 2015194850, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 38400}",NOERROR,,,,,,,,,
[x],0030040c3fea201102171513409402095743220.jd.com,120.0,111.13.28.191,ym.gslb.qianxun.com,"{'name': 'gslb.qianxun.com', 'ns': 'ns1.jdcache.com', 'mailbox': 'apollo.jd.com', 'serial': 2015194850, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 38400}, {'name': 'gslb.qianxun.com', 'ns': 'ns1.jdcache.com', 'mailbox': 'apollo.jd.com', 'serial': 2015194850, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 38400}, {'name': 'gslb.qianxun.com', 'ns': 'ns1.jdcache.com', 'mailbox': 'apollo.jd.com', 'serial': 2015179823, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 38400}",NOERROR,,,,,,,,,
[x],007.jd.com,120.0,172.18.254.165,,"{'name': '007.jd.com', 'ns': 'ns1.jdcache.com', 'mailbox': 'apollo.jd.com', 'serial': 2015239559, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 38400}, {'name': 'jd.com', 'ns': 'ns1.jdcache.com', 'mailbox': 'apollo.jd.com', 'serial': 2015239559, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 38400}, {'name': '007.jd.com', 'ns': 'ns1.jdcache.com', 'mailbox': 'apollo.jd.com', 'serial': 2015239559, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 38400}, {'name': 'jd.com', 'ns': 'ns1.jdcache.com', 'mailbox': 'apollo.jd.com', 'serial': 2015239559, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 38400}",NOERROR,True,172.18.254.165,,,,,,,
[x],010.jd.com,120.0,,,"{'name': 'jd.com', 'ns': 'ns1.jdcache.com', 'mailbox': 'apollo.jd.com', 'serial': 2015239559, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 38400}, {'name': 'jd.com', 'ns': 'ns1.jdcache.com', 'mailbox': 'apollo.jd.com', 'serial': 2015239559, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 38400}, {'name': 'jd.com', 'ns': 'ns1.jdcache.com', 'mailbox': 'apollo.jd.com', 'serial': 2015239559, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 38400}, {'name': 'jd.com', 'ns': 'ns1.jdcache.com', 'mailbox': 'apollo.jd.com', 'serial': 2015239559, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 38400}, {'name': '010.jd.com', 'ns': 'ns1.jdcache.com', 'mailbox': 'apollo.jd.com', 'serial': 2015239559, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 38400}",NOERROR,,,,,,,,,
[x],027168.jd.com,120.0,111.13.28.191,ym.gslb.qianxun.com,"{'name': 'ym.gslb.qianxun.com', 'ns': 'ns1.jdcache.com', 'mailbox': 'apollo.jd.com', 'serial': 2015194850, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 38400}, {'name': 'ym.gslb.qianxun.com', 'ns': 'ns1.jdcache.com', 'mailbox': 'apollo.jd.com', 'serial': 2015194850, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 38400}, {'name': 'jd.com', 'ns': 'ns1.jdcache.com', 'mailbox': 'apollo.jd.com', 'serial': 2015239559, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 38400}",NOERROR,,,,,,,,,
[x],03-mg.jd.com,120.0,111.13.28.191,ym.gslb.qianxun.com,"{'name': 'gslb.qianxun.com', 'ns': 'ns1.jdcache.com', 'mailbox': 'apollo.jd.com', 'serial': 2015194850, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 38400}, {'name': 'ym.gslb.qianxun.com', 'ns': 'ns1.jdcache.com', 'mailbox': 'apollo.jd.com', 'serial': 2015194850, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 38400}, {'name': 'jd.com', 'ns': 'ns1.jdcache.com', 'mailbox': 'apollo.jd.com', 'serial': 2015239559, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 38400}",NOERROR,,,,,,,,,
[x],0t.jd.com,92.0,"172.29.5.22, 10.199.201.9, 10.169.253.87, 172.18.230.90, 172.20.36.216, 172.28.57.46",prod-jsmd.jd.com,"{'name': 'jd.com', 'ns': 'ns1.jdcache.com', 'mailbox': 'apollo.jd.com', 'serial': 2015239559, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 38400}, {'name': 'jd.com', 'ns': 'ns1.jdcache.com', 'mailbox': 'apollo.jd.com', 'serial': 2015239559, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 38400}, {'name': 'jd.com', 'ns': 'ns1.jdcache.com', 'mailbox': 'apollo.jd.com', 'serial': 2015239559, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 38400}, {'name': 'jd.com', 'ns': 'ns1.jdcache.com', 'mailbox': 'apollo.jd.com', 'serial': 2015239559, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 38400}",NOERROR,True,"172.29.5.22, 10.199.201.9, 10.169.253.87, 172.18.230.90, 172.20.36.216, 172.28.57.46",,,,,,,
